en: Jack Bauer; es: Jack Bauer; fr: Jack Bauer; 
en: Africa; es: África; fr: Afrique; 
en: Triskaidekaphobia; es: Triscaidecafobia; fr: Triskaïdékaphobie; 
en: Scotland; es: Escocia; fr: Écosse; 
en: Spain; es: España; fr: Espagne; 
en: England; es: Inglaterra; fr: Angleterre; 
en: Northern Ireland; es: Irlanda del Norte; fr: Irlande du Nord; 
en: Douglas Adams; es: Douglas Adams; fr: Douglas Adams; 
en: Tim Berners-Lee; es: Tim Berners-Lee; fr: Tim Berners-Lee; 
en: Japan; es: Japón; fr: Japon; 
en: Greece; es: Grecia; fr: Grèce; 
en: Number of the Beast; es: Marca de la Bestia; fr: Nombre de la Bête; 
en: George Washington; es: George Washington; fr: George Washington; 
en: Lithuania; es: Lituania; fr: Lituanie; 
en: Luxembourg; es: Luxemburgo; fr: Luxembourg (pays); 
en: Stanley Kubrick; es: Stanley Kubrick; fr: Stanley Kubrick; 
en: Republic of Ireland; es: Irlanda; fr: Irlande (pays); 
en: Maya calendar; es: Calendario maya; fr: Calendrier maya; 
en: Sweden; es: Suecia; fr: Suède; 
en: Happiness; es: Felicidad; fr: Bonheur; 
en: Belgium; es: Bélgica; fr: Belgique; 
en: Wikidata; es: Wikidata; fr: Wikidata; 
en: Universe; es: Universo; fr: Univers; 
en: South America; es: América del Sur; fr: Amérique du Sud; 
en: Wales; es: Gales; fr: Pays de Galles; 
en: Hungary; es: Hungría; fr: Hongrie; 
en: Imagine (John Lennon song); es: Imagine (canción); fr: Imagine (chanson); 
en: Leet; es: Leet speak; fr: Leet speak; 
en: Human; es: Humano; 
en: Breighton; 
en: United States; es: Estados Unidos; fr: États-Unis; 
en: Bern; es: Berna; fr: Berne; 
en: Alexandria; es: Alejandría; fr: Alexandrie; 
en: Basel; es: Basilea; fr: Bâle; 
en: Geneva; es: Ginebra; fr: Genève; 
en: Paul Otlet; es: Paul Otlet; fr: Paul Otlet; 
en: Death; es: Muerte; fr: Mort; 
en: Life; es: Vida; fr: Vie; 
en: Alexandria, Virginia; es: Alexandria; fr: Alexandria (Virginie); 
en: Norway; es: Noruega; fr: Norvège; 
en: Internet Relay Chat; es: Internet Relay Chat; fr: Internet Relay Chat; 
en: Internet; es: Internet; fr: Internet; 
en: Headache; es: Cefalea; fr: Céphalée; 
en: Courrendlin; es: Courrendlin; fr: Courrendlin; 
en: Zürich; es: Zúrich; fr: Zurich; 
en: Uruguay; es: Uruguay; fr: Uruguay; 
en: Printer (computing); es: Impresora; fr: Imprimante; 
en: London; es: Londres; fr: Londres; 
en: Barack Obama; es: Barack Obama; fr: Barack Obama; 
en: San Francisco; es: San Francisco (California); fr: San Francisco; 
en: Cairo; es: El Cairo; fr: Le Caire; 
en: Berlin; es: Berlín; fr: Berlin; 
en: MediaWiki; es: MediaWiki; fr: MediaWiki; 
en: Computer; es: Computadora; fr: Ordinateur; 
en: Denmark; es: Dinamarca; fr: Danemark; 
en: Asia; es: Asia; fr: Asie; 
en: Turkey; es: Turquía; fr: Turquie; 
en: Austria; es: Austria; fr: Autriche; 
en: Switzerland; es: Suiza; fr: Suisse; 
en: Beer; es: Cerveza; fr: Bière; 
en: Italy; es: Italia; fr: Italie; 
en: Club-Mate; es: Club-Mate; fr: Club-Mate; 
en: Poland; es: Polonia; fr: Pologne; 
en: Airbus; es: Airbus; fr: Airbus; 
en: Boeing; es: Boeing; fr: Boeing; 
en: All your base are belong to us; es: All your base are belong to us; fr: All your base are belong to us; 
en: Los Angeles; es: Los Ángeles; fr: Los Angeles; 
en: Lolcat; es: Lolcat; fr: Lolcat; 
en: Never Gonna Give You Up; es: Never Gonna Give You Up; fr: Never Gonna Give You Up; 
en: Finland; es: Finlandia; fr: Finlande; 
en: Europe; es: Europa; fr: Europe; 
en: Wikipedia; es: Wikipedia; fr: Wikipédia; 
en: Portugal; es: Portugal; fr: Portugal; 
en: Antarctica; es: Antártida; fr: Antarctique; 
en: North America; es: América del Norte; fr: Amérique du Nord; 
en: Netherlands; es: Países Bajos; fr: Pays-Bas; 
en: Supercalifragilisticexpialidocious; es: Supercalifragilisticexpialidocious; fr: Supercalifragilisticexpialidocious; 
en: Penis; es: Pene; fr: Pénis; 
en: PHP; es: PHP; fr: PHP; 
en: New York City; es: Nueva York; fr: New York; 
en: Washington, D.C.; es: Washington D. C.; fr: Washington (district de Columbia); 
en: June; es: Junio; fr: Juin; 
en: July; es: Julio; fr: Juillet; 
en: Mars (mythology); es: Marte (mitología); fr: Mars (mythologie); 
en: August; es: Agosto; fr: Août; 
en: September; es: Septiembre; fr: Septembre; 
en: May; es: Mayo; fr: Mai; 
en: Space; es: Espacio (física); fr: Espace (notion); 
en: April; es: Abril; fr: Avril; 
en: Monday; es: Lunes; fr: Lundi; 
en: March; es: Marzo; fr: Mars (mois); 
en: Pneumonoultramicroscopicsilicovolcanoconiosis; es: Pneumonoultramicroscopicsilicovolcanoconiosis; 
en: Monarch; es: Monarca; fr: Monarque; 
en: October; es: Octubre; fr: Octobre; 
en: California; es: California; fr: Californie; 
en: January; es: Enero; fr: Janvier; 
en: Kenya; es: Kenia; fr: Kenya; 
en: Ghana; es: Ghana; fr: Ghana; 
en: Schulze method; es: Método Schulze; fr: Méthode Schulze; 
en: February; es: Febrero; fr: Février; 
en: Mars; es: Marte (planeta); fr: Mars (planète); 
en: Ethiopia; es: Etiopía; fr: Éthiopie; 
en: November; es: Noviembre; fr: Novembre; 
en: December; es: Diciembre; fr: Décembre; 
en: Earth; es: Tierra; fr: Terre; 
en: Fish; es: Pisces; fr: Poisson; 
en: Alcoholic drink; es: Bebida alcohólica; fr: Boisson alcoolisée; 
en: Wiktionary; es: Wikcionario; fr: Wiktionnaire; 
en: French language; es: Idioma francés; fr: Français; 
